workload_id,teacher_id,date,status,teaching_hours,num_classes,country
NGA_TCH_00002151_WL_021,NGA_TCH_00002151,2025-06-24 23:15:43.313907,Present,0.0,1.0,Nigeria
NGA_TCH_00002281_WL_017,NGA_TCH_00002281,2025-10-10 23:15:44.068701,Training,0.0,0.0,Nigeria
NGA_TCH_00000560_WL_025,NGA_TCH_00000560,2025-06-18 23:15:36.488054,Present,1.0,2.0,Nigeria
NGA_TCH_00002180_WL_016,NGA_TCH_00002180,2025-05-25 23:15:43.445056,Present,6.0,1.0,Nigeria
NGA_TCH_00002654_WL_000,NGA_TCH_00002654,2025-09-29 23:15:45.739172,Present,1.0,3.0,Nigeria
NGA_TCH_00002171_WL_023,NGA_TCH_00002171,2025-07-17 23:15:43.407546,Present,7.0,4.0,Nigeria
NGA_TCH_00002391_WL_021,NGA_TCH_00002391,2025-07-12 23:15:44.583640,Present,6.0,0.0,Nigeria
NGA_TCH_00002302_WL_000,NGA_TCH_00002302,2025-08-04 23:15:44.169914,Present,8.0,0.0,Nigeria
NGA_TCH_00001719_WL_004,NGA_TCH_00001719,2025-07-20 23:15:41.397416,Present,4.0,3.0,Nigeria
NGA_TCH_00001417_WL_015,NGA_TCH_00001417,2025-07-19 23:15:40.093561,Present,,3.0,Nigeria
NGA_TCH_00000783_WL_002,NGA_TCH_00000783,2025-05-23 23:15:37.381444,Present,4.0,2.0,Nigeria
NGA_TCH_00001192_WL_035,NGA_TCH_00001192,2025-06-28 23:15:39.173796,Absent,0.0,0.0,Nigeria
NGA_TCH_00001275_WL_011,NGA_TCH_00001275,2025-07-26 23:15:39.514425,Present,7.0,2.0,Nigeria
NGA_TCH_00000470_WL_005,NGA_TCH_00000470,2025-07-23 23:15:36.113962,Present,2.0,0.0,Nigeria
NGA_TCH_00000575_WL_007,NGA_TCH_00000575,2025-09-15 23:15:36.550014,Present,3.0,4.0,Nigeria
NGA_TCH_00002529_WL_016,NGA_TCH_00002529,2025-07-20 23:15:45.197387,Present,1.0,1.0,Nigeria
NGA_TCH_00000004_WL_025,NGA_TCH_00000004,2025-06-13 23:15:34.152682,Present,8.0,3.0,Nigeria
NGA_TCH_00000050_WL_027,NGA_TCH_00000050,2025-05-05 23:15:34.344425,Training,0.0,0.0,Nigeria
NGA_TCH_00001788_WL_009,NGA_TCH_00001788,2025-09-11 23:15:41.672109,Present,8.0,4.0,Nigeria
NGA_TCH_00001961_WL_012,NGA_TCH_00001961,2025-09-17 23:15:42.468347,On Leave,0.0,0.0,Nigeria
NGA_TCH_00001841_WL_010,NGA_TCH_00001841,2025-06-12 23:15:41.877933,Present,3.0,1.0,Nigeria
NGA_TCH_00000072_WL_016,NGA_TCH_00000072,2025-08-06 23:15:34.434157,Present,1.0,4.0,Nigeria
NGA_TCH_00002283_WL_030,NGA_TCH_00002283,2025-08-09 23:15:44.086851,Present,1.0,2.0,Nigeria
NGA_TCH_00000547_WL_023,NGA_TCH_00000547,2025-09-19 23:15:36.440044,Present,6.0,4.0,Nigeria
NGA_TCH_00001169_WL_024,NGA_TCH_00001169,2025-07-19 23:15:39.082797,Present,8.0,1.0,Nigeria
NGA_TCH_00000421_WL_005,NGA_TCH_00000421,2025-09-14 23:15:35.910779,Present,6.0,1.0,Nigeria
NGA_TCH_00002527_WL_029,NGA_TCH_00002527,2025-10-18 23:15:45.189736,Present,7.0,4.0,Nigeria
NGA_TCH_00002709_WL_000,NGA_TCH_00002709,2025-07-29 23:15:45.960639,On Leave,0.0,0.0,Nigeria
NGA_TCH_00002647_WL_011,NGA_TCH_00002647,2025-09-04 23:15:45.710759,Present,2.0,5.0,Nigeria
NGA_TCH_00000825_WL_017,NGA_TCH_00000825,2025-06-19 23:15:37.544844,Present,0.0,5.0,Nigeria
NGA_TCH_00002247_WL_041,NGA_TCH_00002247,2025-08-11 23:15:43.878336,Present,5.0,2.0,Nigeria
NGA_TCH_00002419_WL_008,NGA_TCH_00002419,2025-07-31 23:15:44.703018,Present,3.0,2.0,Nigeria
NGA_TCH_00000475_WL_009,NGA_TCH_00000475,2025-08-30 23:15:36.134404,Present,7.0,2.0,Nigeria
NGA_TCH_00001042_WL_002,NGA_TCH_00001042,2025-07-03 23:15:38.552873,Present,6.0,0.0,Nigeria
NGA_TCH_00000442_WL_021,NGA_TCH_00000442,2025-07-02 23:15:35.992530,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000806_WL_028,NGA_TCH_00000806,2025-07-07 23:15:37.476971,Present,4.0,5.0,Nigeria
NGA_TCH_00001977_WL_043,NGA_TCH_00001977,2025-09-16 23:15:42.549391,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000322_WL_021,NGA_TCH_00000322,2025-09-01 23:15:35.513701,Present,7.0,2.0,Nigeria
NGA_TCH_00002763_WL_020,NGA_TCH_00002763,2025-06-28 23:15:46.200975,Present,6.0,3.0,Nigeria
NGA_TCH_00000455_WL_020,NGA_TCH_00000455,2025-06-05 23:15:36.050779,Present,0.0,5.0,Nigeria
NGA_TCH_00000558_WL_023,NGA_TCH_00000558,2025-07-22 23:15:36.480030,Present,1.0,4.0,Nigeria
NGA_TCH_00002554_WL_007,NGA_TCH_00002554,2025-08-24 23:15:45.319914,Present,4.0,5.0,Nigeria
NGA_TCH_00001138_WL_036,NGA_TCH_00001138,2025-06-02 23:15:38.947703,Absent,0.0,0.0,Nigeria
NGA_TCH_00000900_WL_031,NGA_TCH_00000900,2025-09-18 23:15:37.977790,Present,8.0,4.0,Nigeria
NGA_TCH_00000714_WL_022,NGA_TCH_00000714,2025-05-31 23:15:37.114477,Present,4.0,4.0,Nigeria
NGA_TCH_00002251_WL_008,NGA_TCH_00002251,2025-07-28 23:15:43.896936,On Leave,0.0,0.0,Nigeria
NGA_TCH_00001460_WL_030,NGA_TCH_00001460,2025-05-17 23:15:40.349499,Present,6.0,5.0,Nigeria
NGA_TCH_00002145_WL_001,NGA_TCH_00002145,2025-09-28 23:15:43.285439,Present,4.0,0.0,Nigeria
NGA_TCH_00000134_WL_033,NGA_TCH_00000134,2025-09-11 23:15:34.742950,Present,3.0,1.0,Nigeria
NGA_TCH_00002426_WL_021,NGA_TCH_00002426,2025-08-26 23:15:44.736185,Present,1.0,5.0,Nigeria
NGA_TCH_00001016_WL_026,NGA_TCH_00001016,2025-07-19 23:15:38.443394,Present,7.0,1.0,Nigeria
NGA_TCH_00000345_WL_011,NGA_TCH_00000345,2025-09-11 23:15:35.609082,Present,3.0,0.0,Nigeria
NGA_TCH_00001014_WL_019,NGA_TCH_00001014,2025-05-06 23:15:38.434028,Present,6.0,5.0,Nigeria
NGA_TCH_00002001_WL_017,NGA_TCH_00002001,2025-07-02 23:15:42.663893,Present,8.0,3.0,Nigeria
NGA_TCH_00001539_WL_016,NGA_TCH_00001539,2025-09-09 23:15:40.663674,Absent,0.0,0.0,Nigeria
NGA_TCH_00001124_WL_038,NGA_TCH_00001124,2025-10-02 23:15:38.894070,Present,3.0,,Nigeria
NGA_TCH_00002674_WL_039,NGA_TCH_00002674,2025-09-07 23:15:45.821407,Present,0.0,1.0,Nigeria
NGA_TCH_00002088_WL_039,NGA_TCH_00002088,2025-08-12 23:15:43.056266,Present,4.0,4.0,Nigeria
NGA_TCH_00002798_WL_020,NGA_TCH_00002798,2025-08-25 23:15:46.609004,Present,0.0,3.0,Nigeria
NGA_TCH_00000016_WL_009,NGA_TCH_00000016,2025-10-05 23:15:34.204986,Present,3.0,4.0,Nigeria
NGA_TCH_00002408_WL_031,NGA_TCH_00002408,2025-05-18 23:15:44.662782,Present,2.0,1.0,Nigeria
NGA_TCH_00001750_WL_019,NGA_TCH_00001750,2025-09-26 23:15:41.516237,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000913_WL_039,NGA_TCH_00000913,2025-07-30 23:15:38.032444,Present,8.0,1.0,Nigeria
NGA_TCH_00002340_WL_022,NGA_TCH_00002340,2025-09-25 23:15:44.335809,Present,6.0,4.0,Nigeria
NGA_TCH_00001029_WL_026,NGA_TCH_00001029,2025-09-27 23:15:38.501792,Present,3.0,4.0,Nigeria
NGA_TCH_00002232_WL_019,NGA_TCH_00002232,2025-08-06 23:15:43.781127,Present,2.0,5.0,Nigeria
NGA_TCH_00001698_WL_017,NGA_TCH_00001698,2025-09-23 23:15:41.315114,Present,4.0,0.0,Nigeria
NGA_TCH_00001298_WL_038,NGA_TCH_00001298,2025-04-26 23:15:39.613871,Present,4.0,1.0,Nigeria
NGA_TCH_00000796_WL_009,NGA_TCH_00000796,2025-10-12 23:15:37.436186,Present,1.0,0.0,Nigeria
NGA_TCH_00002404_WL_011,NGA_TCH_00002404,2025-07-02 23:15:44.644007,Absent,0.0,0.0,Nigeria
NGA_TCH_00000016_WL_012,NGA_TCH_00000016,2025-07-22 23:15:34.205279,Present,6.0,4.0,Nigeria
NGA_TCH_00000876_WL_025,NGA_TCH_00000876,2025-07-27 23:15:37.860479,Present,5.0,5.0,Nigeria
NGA_TCH_00001823_WL_000,NGA_TCH_00001823,2025-08-20 23:15:41.809864,Training,0.0,0.0,Nigeria
NGA_TCH_00000410_WL_011,NGA_TCH_00000410,2025-06-20 23:15:35.870009,Absent,0.0,0.0,Nigeria
NGA_TCH_00000505_WL_039,NGA_TCH_00000505,2025-08-24 23:15:36.263102,Present,8.0,1.0,
NGA_TCH_00000953_WL_020,NGA_TCH_00000953,2025-06-17 23:15:38.185593,On Leave,0.0,0.0,Nigeria
NGA_TCH_00001413_WL_026,NGA_TCH_00001413,2025-10-13 23:15:40.079784,Present,8.0,4.0,Nigeria
NGA_TCH_00001888_WL_019,NGA_TCH_00001888,2025-05-07 23:15:42.102044,Present,6.0,0.0,Nigeria
NGA_TCH_00002827_WL_030,NGA_TCH_00002827,2025-08-27 23:15:46.794427,Present,3.0,1.0,Nigeria
